Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Codigo do produto,Descrição,Qde,  Local  ,,Legenda,,,,
,1,"Capacitor 0,22uF 63V",4,A1.1,,no site mas s/estoque,,,,
,2,"Capacitor 0,22uF 50V",8,A1.2,,Não tem ESTOQUE,,,,
,3,"Capacitor 0,47uF 50V",38,A2.1,,,,,,
,4,"Capacitor 0,47UF 100V",36,A2.2,,,,,,
,5,"Capacitor 0,47uf 250v",14,A3.1,,,,,,
,6,"Capacitor Poliester 0,47uF 250v",4,A3.2,,,,,,
,7,Capacitor 1uF 50V,20,A4.1,,,,,,
,8,Capacitor 1uF 63V,6,A4.2,,,,,,
,9,Capacitor 1uF 250V,8,A5.1,,,,,,
,10,Capacitor Poliester 1uF 250v,4,A5.1,,,,,,
,11,Capacitor Ceramico 1uF 25v SMD 2220,4,A5.1,,,,,,
,12,Capacitor 1uF 450V,9,A5.2,,,,,,
,13,"Capacitor 2,2uF 16V",6,A6.1,,,,,,
,14,"Capacitor 2,2uF 50V",32,A6.2,,,,,,
,15,"Capacitor 2,2uF 160V",7,A7.1,,,,,,
,16,"Capacitor 2,2uF 350V",19,A7.2,,,,,,
,17,"Capacitor Axial 2,2uF 450V ",1,A8.1,,,,,,
,19,"Capacitor 3,3uF 25V",4,A8.2,,,,,,
,18,"Capacitor 3,3uF 100V",19,A9.1,,,,,,
,20,"Capacitor 3,3uF 63V",26,A9.2,,,,,,
,21,"Capacitor 3,3uF 250V",16,A10.1,,,,,,
,22,"Capacitor 4,7uF 25V",12,A10.2,,,,,,
,23,"Capacitor 4,7uF 50V ",48,A11.1,,,,,,
,24,"Capacitor 4,7uF 63V",12,A11.2,,,,,,
,25,"Capacitor 4,7uF 100V",13,A12.1,,,,,,
,26,"Capacitor 4,7uF 250V",20,A12.2,,,,,,
,27, Capacitor 100uf 16v,30,A14.1,,,,,,
,28,Capacitor 10uF 63V,26,A14.2,,,,,,
,29,Capacitor 10uF 63V SMD,15,A14.2,,,,,,
,30,"Capacitor 6,8uF 50V",9,A15.1,,,,,,
,31,Capacitor 10uF 25V,40,A13.1,,,,,,
,32,Capacitor 10uF 25V SMD,5,A13.1,,,,,,
,33,Capacitor Tantalo SMD 10uF 25V ,6,A13.1,,,,,,
,34,Capacitor Ceramico 10uF 25v SMD 0805,3,A13.1,,,,,,
,35,Capacitor Tantalo Gota 10uF 25v,18,A13.1,,,,,,
,36,Capacitor 10uF 35V,20,A13.2 ,,,,,,
,37,Capacitor 10uF 35V SMD,17,A13.2 ,,,,,,
,38,"Capacitor 4,7uF 450V",10,A15.2,,,,,,
,39,"Capacitor 4,7uF 350V",15,A16.1,,,,,,
,40,Capacitor 22uF 100V,9,A16.2,,,,,,
,41,Caoacitor 10uF 250V,16,A17.2,,,,,,
,42,Capacitor 22uF 16V,50,A18.1,,,,,,
,43,Capacitor 22uF 16V SMD,37,A18.1,,,,,,
,44,Capacitor 22uF 35V,24,A19.1,,,,,,
,45,Capacitor 22uF 35V SMD,2,A19.1,,,,,,
,46,Capacitor 10uF 160V,13,A19.2,,,,,,
,47,Capacitor 33uF 16V,13,A20.1,,,,,,
,48,Capacitor 33uF 50V,36,A20.2,,,,,,
,49,Capacitor 33uF 63V,11,A21.1,,,,,,
,50,Capacitor SMD 47uF 25V,10,A21.2,,,,,,
,51,Capacitor Ceramico 47uf 25v SMD 1206,12,A21.2,,,,,,
,52,Capacitor 47uF 25V,36,A22.1,,,,,,
,53,Capacitor 47uF 35V,40,A22.2,,,,,,
,54,Capacitor 47uF 63V,12,A23.1,,,,,,
,55,MARKING CODE 5DW,0,A23.2,,,,,,
,,Capacitor 47uF 100V,13,A24.1,,,,,,
,56,,,,,,,,,
,57,Capacitor 100uF 35V,29,A25.1,,,,,,
,58,Capacitor 100uF 35v SMD,4,A25.1,,,,,,
,59,Capacitor 100uF 100V ,10,A25.2,,,,,,
,60,Capacitor 150uF 63V,10,A26.1,,,,,,
,61,Capacitor 220uF 10V,0,A26.2,,,,,,
,62,Capacitor 220uF 35v,32,A27.1,,,,,,
,63,Capacitor 220uf 35v SMD,0,A27.1,,,,,,
,64,Capacitor Tantalo Gota 220uF 35v,5,A27.1,,,,,,
,65,Capacitor 220uF 50V,9,A27.2,,,,,,
,66,Capacitor 220uF 63V,22,A28.1,,,,,,
,67,Capacitor 330uF 35V (B),0,A28.2,,,,,,
,68,Capacitor 330uF 63V,13,A29.1,,,,,,
,69,Capacitor 470uF 50V,25,A30.1,,,,,,
,70,Capacitor 1000uF 16V,28,A31.2,,,,,,
,71,Capacitor 1000uF 50V,6,A32.1,,,,,,
,72,Capacitor 56uF 35v (B),0,A32.2,,,,,,
,73,Capacitor 82uF 35v,6,A33.1,,,,,,
,74,Capacitor 82uF 16v,9,A33.2,,,,,,
,75,Capacitor 470uF 16v,9,A34.1,,,,,,
,76,Capacitor Axial 470uf 16v,3,A34.1,,,,,,
,77,Capacitor SMD 470uf 16v,9,A34.1,,,,,,
,78,Capacitor 680uF 16v,6,A34.2,,,,,,
,79,Capacitor 680uF 25v,12,A35.1,,,,,,
,80, Capacitor 22uF 25V,62,A35.2,,,,,,
,81,Capacitor 56uf 50V,0,A36.1,,,,,,
,82,Capacitor 68uf 16V,14,A36.2,,,,,,
,83,Capacitor 68uf 25V,5,A37.1,,,,,,
,84,Capacitor 68uf 50V,10,A37.2,,,,,,
,85,Capacitor 68uf 100V,6,A38.1,,,,,,
,86,"Capacitor 1200uF 6,3V",6,A38.2,,,,,,
,87,Capacitor 1500uF 35V,3,A39.1,,,,,,
,88,Capacitor 1500uF 16V,4,A39.2,,,,,,
,89,Capacitor 2200uF 160V,3,a40.1,,,,,,
,90,MIC2026A-1YM Soic-8,1,a40.2,,,,,,
,91,Capacitor 2200uF 35V,7,A41.1,,,,,,
,92,TAA765G  Soic-6,1,A41.2,,,,,,
,93,BA6406 Soic-8,3,A42.1,,,,,,
,94,Capacitor 470uF 25V,5,A42.2,,,,,,
,95,Capacitor 680uF 50V,6,A43.1,,,,,,
,96,Capacitor 47uF 250V,3,A43.2,,,,,,
,97,Capacitor 150uF 35v,2,A44.1,,,,,,
,98,Capacitor 1000uF 63v,5,A44.2,,,,,,
,99,Fusivel 25A 600Vac  10x38,0,A45.1,,,,,,
,100,Capacitor 220uF 16v,6,A45.2,,,,,,
,101,Capacitor SMD 220uF 16v,11,A45.2,,,,,,
,102,Capacitor 100uf 25v,30,A46.1,,,,,,
,103,Capacitor SMD 100uf 25v,8,A46.1,,,,,,
,104,Capacitor 1uf 100v,50,A46.2,,,,,,
,105,Capacitor Poliester 1uF 100v,1,A46.2,,,,,,
,106,Capacitor Ceramico PCI 1uF 100v,1,A46.2,,,,,,
,107,Capacitor 10uF 450v,3,A47.1,,,,,,
,108,Capacitor 47uF 50V (B),19,A47.2,,,,,,
,109,Capacitor SMD 47uF 50v,4,A47.2,,,,,,
,110,Capacitor 470uF 10V,0,A48.1,,,,,,
,111,Capacitor 470uF 10V SMD,1,A48.1,,,,,,
,112,Capacitor 1000uF 100V,2,A48.2,,,,,,
,113,Capacitor 3300uF 16V,5,B1.1,,,,,,
,114,Capacitor 470uF 63V,6,B1.2,,,,,,
,115, Diodo 75v 300mA BAW76,19,B2.1,,,,,,
,116,Capacitor 4700uF 16V,2,B2.2,,,,,,
,117,Capacitor 560uF 35V,0,B3.1,,,,,,
,118,Capacitor 6800uF  16V,1,B3.2,,,,,,
,119,Capacitor Poliester 47nF 63v,7,B4.1,,,,,,
,120,Capacitor 470uF 100v,4,B4.2,,,,,,
,121,Diodo Retificador 200v 2A BYW32  ,1,B5.1,,,,,,
,122,Capacitor 2200uF 25v  USADOS,8,B5.2,,,,,,
,123,Transistor  30v  BCV27  Sot-23 MARKING CODE IFF,12,B6.1,,,,,,
,124,MC33079N / LT1058 Dip-16,1,B6.2,,,,,,
,125,Capacitor 10uF 16v,48,B7.1,,,,,,
,126,CAPACITOR TANTALO gota 10uF 16V,4,B7.1,,,,,,
,127,CapacitorSMD 10uF 16v,1,B7.1,,,,,,
,128,Capacitor Tantalo SMD 10uf 16v,2,B7.1,,,,,,
,129,Capacitor 47uF 400v,7,B7.2,,,,,,
,130,Capacitor Poliester 102 1nF 50v,10,B8.1,,,,,,
,131,Capacitor 103 10nF 50v,30,B8.2,,,,,,
,132,Capacitor 104 100nF 50v,19,B9.1,,,,,,
,133,Capacitor 10uF 50V,13,B9.2,,,,,,
,134,Capacitor SMD 10uF 50v,9,B9.2,,,,,,
,135,Capacitor 330uF 25V,25,B10.1,,,,,,
,136,Capacitor 330uF 16V,16,B10.2,,,,,,
,137,Capacitor SMD 330uF 16v,7,B10.2,,,,,,
,138,Capacitor 120uF 35V,0,B11.1,,,,,,
,139,Capacitor 2700uF 63V,1,B11.2,,,,,,
,140,Triac 800v 25A BTA24-800 To-220,2,B12.1,,,,,,
,141,Capacitor 100uf 50v,10,B12.2,,,,,,
